iter	Logloss
0	0.6022004428
1	0.5401737384
2	0.5215243527
3	0.4819406233
4	0.4495479822
5	0.4101594413
6	0.3922625451
7	0.3575232799
8	0.3494972211
9	0.3360694061
10	0.3233142123
11	0.312707285
12	0.3050673726
13	0.298137921
14	0.2880465272
15	0.277919587
16	0.267812381
17	0.2619497663
18	0.2561340786
19	0.253106441
20	0.2461916667
21	0.2382229521
22	0.2274637646
23	0.222091641
24	0.2170414589
25	0.2120721427
26	0.2076630746
27	0.2035592861
28	0.1995921656
29	0.1937026161
30	0.188420915
31	0.1832649186
32	0.1780392162
33	0.1736666689
34	0.1705989529
35	0.1664667178
36	0.1633918719
37	0.1560618178
38	0.1524048339
39	0.1498586255
