rating,final_price,actual_price,offer_per,norating,noreviews,five_star,four_star,three_star,two_star,one_star,main_category_Women,platform_Flipkart,fulfilled_1,title_bellies,title_boots,title_casuals,title_flip flops,title_jalsa,title_loafers,title_sandal,title_shoes,title_slip,title_sneaker
3.9,698,6.906754778648554,30.13,38.0,7.0,2.8390784635086144,2.2082744135228043,1.8082887711792655,1.1314021114911006,1.1314021114911006,1,1,0,1,0,0,0,0,0,0,0,0,0
3.8,999,7.6004023345004,50.03,531.0,69.0,5.576327819303087,4.522874943261261,4.291828366755733,3.370738174177447,4.291828366755733,0,1,1,0,0,0,0,0,0,0,0,0,1
4.4,2749,8.51699317141357,45.01,17.0,4.0,2.4069451083182885,1.1314021114911006,0.7419373447293773,0.09531017980432493,-2.3025850929940455,1,1,1,0,0,0,0,0,0,0,0,0,1
4.2,518,6.584791392385716,15.85,24109.0,6229.0,6.951867853600458,9.426749296514277,8.585244286237396,6.552650530212922,8.432745797338619,0,1,1,0,0,0,0,0,0,1,0,0,0
3.9,1379,7.740229524763182,40.02,77.0,3.0,3.55820113047182,3.0492730404820207,1.9600947840472698,1.9600947840472698,1.9600947840472698,0,1,1,0,0,0,0,0,0,1,0,0,0
4.1,359,6.212606095751519,28.06,274.0,25.0,5.031091302663638,3.893859034800475,3.529297384289471,2.714694743820879,3.139832617527748,1,1,0,0,0,0,0,0,0,1,0,0,0
4.0,499,6.906754778648554,50.05,246.0,31.0,4.86830338551846,3.9531649487593215,3.299533727885655,2.2082744135228043,3.3357695763397,1,1,1,0,0,0,0,0,0,1,0,0,0
3.9,209,7.1693500166706,83.91,123.0,17.0,4.144720769547168,3.2228678461377385,2.6461747973841225,2.2082744135228043,2.4932054526026954,1,1,0,0,0,0,0,0,0,1,0,0,0
4.2,549,6.906754778648554,45.05,195.0,30.0,4.788324729085938,3.2228678461377385,3.4372078191851885,1.9600947840472698,2.4932054526026954,1,1,1,0,0,0,0,0,0,0,0,0,1
4.1,809,6.80128303447162,10.01,36126.0,5028.0,9.835642236641034,9.20019912289929,8.21854453857127,7.148424357162165,7.847020074416114,0,1,0,0,0,0,0,0,0,1,0,0,0
