model,rmse_test,rmse_train,r2_test,r2_train
LinearRegression Initial,0.11226451994031916,0.10181444153666112,0.9149569824988667,0.934853604664169
ElasticNet Initial,0.3853372362643226,0.3989001395404213,-0.0019258245221032144,0.0
ElasticNet Grid Search,0.1119892770962123,0.1020133454986297,0.9153734771767992,0.9345988169709616
KNeighborsRegressor Initial,0.1830760068597592,0.1479863048671326,0.7738396451702871,0.8623695036855092
DecisionTreeRegressor Initial,0.20175632718247027,0.0,0.7253320786250697,1.0
DecisionTreeRegressor Grid Search,0.18809982555231128,0.12653592092204333,0.7612571357868478,0.8993765313772755
RandomForestRegressor Initial,0.132526180778473,0.05137585998591226,0.8814894594502967,0.9834121601850269
RandomForestRegressor Grid Search,0.14093583487754494,0.10185461934028973,0.8659717091985942,0.9348021786486924
XGBRegressor Initial,0.1260283737880103,0.08591171739136046,0.8928257929492583,0.9536151213196574
DecisionTreeRegressor Grid Search,0.12232012145092339,0.05199605390266689,0.8990399814974308,0.9830092560888128
